[x, y]
[1144.0, 1308736.0]
[1145.0, 1311025.0]
[1146.0, 1313316.0]
[1147.0, 1315609.0]
[1148.0, 1317904.0]
[1149.0, 1320201.0]
[1150.0, 1322500.0]
[1151.0, 1324801.0]
[1152.0, 1327104.0]
[1153.0, 1329409.0]
[1154.0, 1331716.0]
[1155.0, 1334025.0]
[1156.0, 1336336.0]
[1157.0, 1338649.0]
[1158.0, 1340964.0]
[1159.0, 1343281.0]
[1160.0, 1345600.0]
[1161.0, 1347921.0]
[1162.0, 1350244.0]
[1163.0, 1352569.0]
[1164.0, 1354896.0]
[1165.0, 1357225.0]
[1166.0, 1359556.0]
[1167.0, 1361889.0]
[1168.0, 1364224.0]
[1169.0, 1366561.0]
[1170.0, 1368900.0]
[1171.0, 1371241.0]
[1172.0, 1373584.0]
[1173.0, 1375929.0]
[1174.0, 1378276.0]
[1175.0, 1380625.0]
[1176.0, 1382976.0]
[1177.0, 1385329.0]
[1178.0, 1387684.0]
[1179.0, 1390041.0]
[1180.0, 1392400.0]
[1181.0, 1394761.0]
[1182.0, 1397124.0]
[1183.0, 1399489.0]
[1184.0, 1401856.0]
[1185.0, 1404225.0]
[1186.0, 1406596.0]
[1187.0, 1408969.0]
[1188.0, 1411344.0]
[1189.0, 1413721.0]
[1190.0, 1416100.0]
[1191.0, 1418481.0]
[1192.0, 1420864.0]
[1193.0, 1423249.0]
[1194.0, 1425636.0]
[1195.0, 1428025.0]
[1196.0, 1430416.0]
[1197.0, 1432809.0]
[1198.0, 1435204.0]
[1199.0, 1437601.0]
[1200.0, 1440000.0]
[1201.0, 1442401.0]
[1202.0, 1444804.0]
[1203.0, 1447209.0]
[1204.0, 1449616.0]
[1205.0, 1452025.0]
[1206.0, 1454436.0]
[1207.0, 1456849.0]
[1208.0, 1459264.0]
[1209.0, 1461681.0]
[1210.0, 1464100.0]
[1211.0, 1466521.0]
[1212.0, 1468944.0]
[1213.0, 1471369.0]
[1214.0, 1473796.0]
[1215.0, 1476225.0]
[1216.0, 1478656.0]
[1217.0, 1481089.0]
[1218.0, 1483524.0]
[1219.0, 1485961.0]
[1220.0, 1488400.0]
[1221.0, 1490841.0]
[1222.0, 1493284.0]
[1223.0, 1495729.0]
[1224.0, 1498176.0]
[1225.0, 1500625.0]
[1226.0, 1503076.0]
[1227.0, 1505529.0]
[1228.0, 1507984.0]
[1229.0, 1510441.0]
[1230.0, 1512900.0]
[1231.0, 1515361.0]
[1232.0, 1517824.0]
[1233.0, 1520289.0]
[1234.0, 1522756.0]
[1235.0, 1525225.0]
[1236.0, 1527696.0]
[1237.0, 1530169.0]
[1238.0, 1532644.0]
[1239.0, 1535121.0]
[1240.0, 1537600.0]
[1241.0, 1540081.0]
[1242.0, 1542564.0]
[1243.0, 1545049.0]
[1244.0, 1547536.0]
[1245.0, 1550025.0]
[1246.0, 1552516.0]
[1247.0, 1555009.0]
[1248.0, 1557504.0]
[1249.0, 1560001.0]
[1250.0, 1562500.0]
[1251.0, 1565001.0]
[1252.0, 1567504.0]
[1253.0, 1570009.0]
[1254.0, 1572516.0]
[1255.0, 1575025.0]
[1256.0, 1577536.0]
[1257.0, 1580049.0]
[1258.0, 1582564.0]
[1259.0, 1585081.0]
[1260.0, 1587600.0]
[1261.0, 1590121.0]
[1262.0, 1592644.0]
[1263.0, 1595169.0]
[1264.0, 1597696.0]
[1265.0, 1600225.0]
[1266.0, 1602756.0]
[1267.0, 1605289.0]
[1268.0, 1607824.0]
[1269.0, 1610361.0]
[1270.0, 1612900.0]
[1271.0, 1615441.0]
[1272.0, 1617984.0]
[1273.0, 1620529.0]
[1274.0, 1623076.0]
[1275.0, 1625625.0]
[1276.0, 1628176.0]
[1277.0, 1630729.0]
[1278.0, 1633284.0]
[1279.0, 1635841.0]
[1280.0, 1638400.0]
[1281.0, 1640961.0]
[1282.0, 1643524.0]
[1283.0, 1646089.0]
[1284.0, 1648656.0]
[1285.0, 1651225.0]
[1286.0, 1653796.0]
[1287.0, 1656369.0]
[1288.0, 1658944.0]
[1289.0, 1661521.0]
[1290.0, 1664100.0]
[1291.0, 1666681.0]
[1292.0, 1669264.0]
[1293.0, 1671849.0]
[1294.0, 1674436.0]
[1295.0, 1677025.0]
[1296.0, 1679616.0]
[1297.0, 1682209.0]
[1298.0, 1684804.0]
[1299.0, 1687401.0]
[1300.0, 1690000.0]
[1301.0, 1692601.0]
[1302.0, 1695204.0]
[1303.0, 1697809.0]
[1304.0, 1700416.0]
[1305.0, 1703025.0]
[1306.0, 1705636.0]
[1307.0, 1708249.0]
[1308.0, 1710864.0]
[1309.0, 1713481.0]
[1310.0, 1716100.0]
[1311.0, 1718721.0]
[1312.0, 1721344.0]
[1313.0, 1723969.0]
[1314.0, 1726596.0]
[1315.0, 1729225.0]
[1316.0, 1731856.0]
[1317.0, 1734489.0]
[1318.0, 1737124.0]
[1319.0, 1739761.0]
[1320.0, 1742400.0]
[1321.0, 1745041.0]
[1322.0, 1747684.0]
[1323.0, 1750329.0]
[1324.0, 1752976.0]
[1325.0, 1755625.0]
[1326.0, 1758276.0]
[1327.0, 1760929.0]
[1328.0, 1763584.0]
[1329.0, 1766241.0]
[1330.0, 1768900.0]
[1331.0, 1771561.0]
[1332.0, 1774224.0]
[1333.0, 1776889.0]
[1334.0, 1779556.0]
[1335.0, 1782225.0]
[1336.0, 1784896.0]
[1337.0, 1787569.0]
[1338.0, 1790244.0]
[1339.0, 1792921.0]
[1340.0, 1795600.0]
[1341.0, 1798281.0]
[1342.0, 1800964.0]
[1343.0, 1803649.0]
[1344.0, 1806336.0]
[1345.0, 1809025.0]
[1346.0, 1811716.0]
[1347.0, 1814409.0]
[1348.0, 1817104.0]
[1349.0, 1819801.0]
[1350.0, 1822500.0]
[1351.0, 1825201.0]
[1352.0, 1827904.0]
[1353.0, 1830609.0]
[1354.0, 1833316.0]
[1355.0, 1836025.0]
[1356.0, 1838736.0]
[1357.0, 1841449.0]
[1358.0, 1844164.0]
[1359.0, 1846881.0]
[1360.0, 1849600.0]
[1361.0, 1852321.0]
[1362.0, 1855044.0]
[1363.0, 1857769.0]
[1364.0, 1860496.0]
[1365.0, 1863225.0]
[1366.0, 1865956.0]
[1367.0, 1868689.0]
[1368.0, 1871424.0]
[1369.0, 1874161.0]
[1370.0, 1876900.0]
[1371.0, 1879641.0]
[1372.0, 1882384.0]
[1373.0, 1885129.0]
[1374.0, 1887876.0]
[1375.0, 1890625.0]
[1376.0, 1893376.0]
[1377.0, 1896129.0]
[1378.0, 1898884.0]
[1379.0, 1901641.0]
[1380.0, 1904400.0]
[1381.0, 1907161.0]
[1382.0, 1909924.0]
[1383.0, 1912689.0]
[1384.0, 1915456.0]
[1385.0, 1918225.0]
[1386.0, 1920996.0]
[1387.0, 1923769.0]
[1388.0, 1926544.0]
[1389.0, 1929321.0]
[1390.0, 1932100.0]
[1391.0, 1934881.0]
[1392.0, 1937664.0]
[1393.0, 1940449.0]
[1394.0, 1943236.0]
[1395.0, 1946025.0]
[1396.0, 1948816.0]
[1397.0, 1951609.0]
[1398.0, 1954404.0]
[1399.0, 1957201.0]
[1400.0, 1960000.0]
[1401.0, 1962801.0]
[1402.0, 1965604.0]
[1403.0, 1968409.0]
[1404.0, 1971216.0]
[1405.0, 1974025.0]
[1406.0, 1976836.0]
[1407.0, 1979649.0]
[1408.0, 1982464.0]
[1409.0, 1985281.0]
[1410.0, 1988100.0]
[1411.0, 1990921.0]
[1412.0, 1993744.0]
[1413.0, 1996569.0]
[1414.0, 1999396.0]
[1415.0, 2002225.0]
[1416.0, 2005056.0]
[1417.0, 2007889.0]
[1418.0, 2010724.0]
[1419.0, 2013561.0]
[1420.0, 2016400.0]
[1421.0, 2019241.0]
[1422.0, 2022084.0]
[1423.0, 2024929.0]
[1424.0, 2027776.0]
[1425.0, 2030625.0]
[1426.0, 2033476.0]
[1427.0, 2036329.0]
[1428.0, 2039184.0]
[1429.0, 2042041.0]
[1430.0, 2044900.0]
[1431.0, 2047761.0]
[1432.0, 2050624.0]
[1433.0, 2053489.0]
[1434.0, 2056356.0]
[1435.0, 2059225.0]
[1436.0, 2062096.0]
[1437.0, 2064969.0]
[1438.0, 2067844.0]
[1439.0, 2070721.0]
[1440.0, 2073600.0]
[1441.0, 2076481.0]
[1442.0, 2079364.0]
[1443.0, 2082249.0]
[1444.0, 2085136.0]
[1445.0, 2088025.0]
[1446.0, 2090916.0]
[1447.0, 2093809.0]
[1448.0, 2096704.0]
[1449.0, 2099601.0]
[1450.0, 2102500.0]
[1451.0, 2105401.0]
[1452.0, 2108304.0]
[1453.0, 2111209.0]
[1454.0, 2114116.0]
[1455.0, 2117025.0]
[1456.0, 2119936.0]
[1457.0, 2122849.0]
[1458.0, 2125764.0]
[1459.0, 2128681.0]
[1460.0, 2131600.0]
[1461.0, 2134521.0]
[1462.0, 2137444.0]
[1463.0, 2140369.0]
[1464.0, 2143296.0]
[1465.0, 2146225.0]
[1466.0, 2149156.0]
[1467.0, 2152089.0]
[1468.0, 2155024.0]
[1469.0, 2157961.0]
[1470.0, 2160900.0]
[1471.0, 2163841.0]
[1472.0, 2166784.0]
[1473.0, 2169729.0]
[1474.0, 2172676.0]
[1475.0, 2175625.0]
[1476.0, 2178576.0]
[1477.0, 2181529.0]
[1478.0, 2184484.0]
[1479.0, 2187441.0]
[1480.0, 2190400.0]
[1481.0, 2193361.0]
[1482.0, 2196324.0]
[1483.0, 2199289.0]
[1484.0, 2202256.0]
[1485.0, 2205225.0]
[1486.0, 2208196.0]
[1487.0, 2211169.0]
[1488.0, 2214144.0]
[1489.0, 2217121.0]
[1490.0, 2220100.0]
[1491.0, 2223081.0]
[1492.0, 2226064.0]
[1493.0, 2229049.0]
[1494.0, 2232036.0]
[1495.0, 2235025.0]
[1496.0, 2238016.0]
[1497.0, 2241009.0]
[1498.0, 2244004.0]
[1499.0, 2247001.0]
[1500.0, 2250000.0]
[1501.0, 2253001.0]
[1502.0, 2256004.0]
[1503.0, 2259009.0]
[1504.0, 2262016.0]
[1505.0, 2265025.0]
[1506.0, 2268036.0]
[1507.0, 2271049.0]
[1508.0, 2274064.0]
[1509.0, 2277081.0]
[1510.0, 2280100.0]
[1511.0, 2283121.0]
[1512.0, 2286144.0]
[1513.0, 2289169.0]
[1514.0, 2292196.0]
[1515.0, 2295225.0]
[1516.0, 2298256.0]
[1517.0, 2301289.0]
[1518.0, 2304324.0]
[1519.0, 2307361.0]
[1520.0, 2310400.0]
[1521.0, 2313441.0]
[1522.0, 2316484.0]
[1523.0, 2319529.0]
[1524.0, 2322576.0]
[1525.0, 2325625.0]
[1526.0, 2328676.0]
[1527.0, 2331729.0]
[1528.0, 2334784.0]
[1529.0, 2337841.0]
[1530.0, 2340900.0]
[1531.0, 2343961.0]
[1532.0, 2347024.0]
[1533.0, 2350089.0]
[1534.0, 2353156.0]
[1535.0, 2356225.0]
[1536.0, 2359296.0]
[1537.0, 2362369.0]
[1538.0, 2365444.0]
[1539.0, 2368521.0]
[1540.0, 2371600.0]
[1541.0, 2374681.0]
[1542.0, 2377764.0]
[1543.0, 2380849.0]
[1544.0, 2383936.0]
[1545.0, 2387025.0]
[1546.0, 2390116.0]
[1547.0, 2393209.0]
[1548.0, 2396304.0]
[1549.0, 2399401.0]
[1550.0, 2402500.0]
[1551.0, 2405601.0]
[1552.0, 2408704.0]
[1553.0, 2411809.0]
[1554.0, 2414916.0]
[1555.0, 2418025.0]
[1556.0, 2421136.0]
[1557.0, 2424249.0]
[1558.0, 2427364.0]
[1559.0, 2430481.0]
[1560.0, 2433600.0]
[1561.0, 2436721.0]
[1562.0, 2439844.0]
[1563.0, 2442969.0]
[1564.0, 2446096.0]
[1565.0, 2449225.0]
[1566.0, 2452356.0]
[1567.0, 2455489.0]
[1568.0, 2458624.0]
[1569.0, 2461761.0]
[1570.0, 2464900.0]
[1571.0, 2468041.0]
[1572.0, 2471184.0]
[1573.0, 2474329.0]
[1574.0, 2477476.0]
[1575.0, 2480625.0]
[1576.0, 2483776.0]
[1577.0, 2486929.0]
[1578.0, 2490084.0]
[1579.0, 2493241.0]
[1580.0, 2496400.0]
[1581.0, 2499561.0]
[1582.0, 2502724.0]
[1583.0, 2505889.0]
[1584.0, 2509056.0]
[1585.0, 2512225.0]
[1586.0, 2515396.0]
[1587.0, 2518569.0]
[1588.0, 2521744.0]
[1589.0, 2524921.0]
[1590.0, 2528100.0]
[1591.0, 2531281.0]
[1592.0, 2534464.0]
[1593.0, 2537649.0]
[1594.0, 2540836.0]
[1595.0, 2544025.0]
[1596.0, 2547216.0]
[1597.0, 2550409.0]
[1598.0, 2553604.0]
[1599.0, 2556801.0]
[1600.0, 2560000.0]
[1601.0, 2563201.0]
[1602.0, 2566404.0]
[1603.0, 2569609.0]
[1604.0, 2572816.0]
[1605.0, 2576025.0]
[1606.0, 2579236.0]
[1607.0, 2582449.0]
[1608.0, 2585664.0]
[1609.0, 2588881.0]
[1610.0, 2592100.0]
[1611.0, 2595321.0]
[1612.0, 2598544.0]
[1613.0, 2601769.0]
[1614.0, 2604996.0]
[1615.0, 2608225.0]
[1616.0, 2611456.0]
[1617.0, 2614689.0]
[1618.0, 2617924.0]
[1619.0, 2621161.0]
[1620.0, 2624400.0]
[1621.0, 2627641.0]
[1622.0, 2630884.0]
[1623.0, 2634129.0]
[1624.0, 2637376.0]
[1625.0, 2640625.0]
[1626.0, 2643876.0]
[1627.0, 2647129.0]
[1628.0, 2650384.0]
[1629.0, 2653641.0]
[1630.0, 2656900.0]
[1631.0, 2660161.0]
[1632.0, 2663424.0]
[1633.0, 2666689.0]
[1634.0, 2669956.0]
[1635.0, 2673225.0]
[1636.0, 2676496.0]
[1637.0, 2679769.0]
[1638.0, 2683044.0]
[1639.0, 2686321.0]
[1640.0, 2689600.0]
[1641.0, 2692881.0]
[1642.0, 2696164.0]
[1643.0, 2699449.0]
[1644.0, 2702736.0]
[1645.0, 2706025.0]
[1646.0, 2709316.0]
[1647.0, 2712609.0]
[1648.0, 2715904.0]
[1649.0, 2719201.0]
[1650.0, 2722500.0]
[1651.0, 2725801.0]
[1652.0, 2729104.0]
[1653.0, 2732409.0]
[1654.0, 2735716.0]
[1655.0, 2739025.0]
[1656.0, 2742336.0]
[1657.0, 2745649.0]
[1658.0, 2748964.0]
[1659.0, 2752281.0]
[1660.0, 2755600.0]
[1661.0, 2758921.0]
[1662.0, 2762244.0]
[1663.0, 2765569.0]
[1664.0, 2768896.0]
[1665.0, 2772225.0]
[1666.0, 2775556.0]
[1667.0, 2778889.0]
[1668.0, 2782224.0]
[1669.0, 2785561.0]
[1670.0, 2788900.0]
[1671.0, 2792241.0]
[1672.0, 2795584.0]
[1673.0, 2798929.0]
[1674.0, 2802276.0]
[1675.0, 2805625.0]
[1676.0, 2808976.0]
[1677.0, 2812329.0]
[1678.0, 2815684.0]
[1679.0, 2819041.0]
[1680.0, 2822400.0]
[1681.0, 2825761.0]
[1682.0, 2829124.0]
[1683.0, 2832489.0]
[1684.0, 2835856.0]
[1685.0, 2839225.0]
[1686.0, 2842596.0]
[1687.0, 2845969.0]
[1688.0, 2849344.0]
[1689.0, 2852721.0]
[1690.0, 2856100.0]
[1691.0, 2859481.0]
[1692.0, 2862864.0]
[1693.0, 2866249.0]
[1694.0, 2869636.0]
[1695.0, 2873025.0]
[1696.0, 2876416.0]
[1697.0, 2879809.0]
[1698.0, 2883204.0]
[1699.0, 2886601.0]
[1700.0, 2890000.0]
[1701.0, 2893401.0]
[1702.0, 2896804.0]
[1703.0, 2900209.0]
[1704.0, 2903616.0]
[1705.0, 2907025.0]
[1706.0, 2910436.0]
[1707.0, 2913849.0]
[1708.0, 2917264.0]
[1709.0, 2920681.0]
[1710.0, 2924100.0]
[1711.0, 2927521.0]
[1712.0, 2930944.0]
[1713.0, 2934369.0]
[1714.0, 2937796.0]
[1715.0, 2941225.0]
[1716.0, 2944656.0]
[1717.0, 2948089.0]
[1718.0, 2951524.0]
[1719.0, 2954961.0]
[1720.0, 2958400.0]
[1721.0, 2961841.0]
[1722.0, 2965284.0]
[1723.0, 2968729.0]
[1724.0, 2972176.0]
[1725.0, 2975625.0]
[1726.0, 2979076.0]
[1727.0, 2982529.0]
[1728.0, 2985984.0]
[1729.0, 2989441.0]
[1730.0, 2992900.0]
[1731.0, 2996361.0]
[1732.0, 2999824.0]
[1733.0, 3003289.0]
[1734.0, 3006756.0]
[1735.0, 3010225.0]
[1736.0, 3013696.0]
[1737.0, 3017169.0]
[1738.0, 3020644.0]
[1739.0, 3024121.0]
[1740.0, 3027600.0]
[1741.0, 3031081.0]
[1742.0, 3034564.0]
[1743.0, 3038049.0]
[1744.0, 3041536.0]
[1745.0, 3045025.0]
[1746.0, 3048516.0]
[1747.0, 3052009.0]
[1748.0, 3055504.0]
[1749.0, 3059001.0]
[1750.0, 3062500.0]
[1751.0, 3066001.0]
[1752.0, 3069504.0]
[1753.0, 3073009.0]
[1754.0, 3076516.0]
[1755.0, 3080025.0]
[1756.0, 3083536.0]
[1757.0, 3087049.0]
[1758.0, 3090564.0]
[1759.0, 3094081.0]
[1760.0, 3097600.0]
[1761.0, 3101121.0]
[1762.0, 3104644.0]
[1763.0, 3108169.0]
[1764.0, 3111696.0]
[1765.0, 3115225.0]
[1766.0, 3118756.0]
[1767.0, 3122289.0]
[1768.0, 3125824.0]
[1769.0, 3129361.0]
[1770.0, 3132900.0]
[1771.0, 3136441.0]
[1772.0, 3139984.0]
[1773.0, 3143529.0]
[1774.0, 3147076.0]
[1775.0, 3150625.0]
[1776.0, 3154176.0]
[1777.0, 3157729.0]
[1778.0, 3161284.0]
[1779.0, 3164841.0]
[1780.0, 3168400.0]
[1781.0, 3171961.0]
[1782.0, 3175524.0]
[1783.0, 3179089.0]
[1784.0, 3182656.0]
[1785.0, 3186225.0]
[1786.0, 3189796.0]
[1787.0, 3193369.0]
[1788.0, 3196944.0]
[1789.0, 3200521.0]
[1790.0, 3204100.0]
[1791.0, 3207681.0]
[1792.0, 3211264.0]
[1793.0, 3214849.0]
[1794.0, 3218436.0]
[1795.0, 3222025.0]
[1796.0, 3225616.0]
[1797.0, 3229209.0]
[1798.0, 3232804.0]
[1799.0, 3236401.0]
[1800.0, 3240000.0]
[1801.0, 3243601.0]
[1802.0, 3247204.0]
[1803.0, 3250809.0]
[1804.0, 3254416.0]
[1805.0, 3258025.0]
[1806.0, 3261636.0]
[1807.0, 3265249.0]
[1808.0, 3268864.0]
[1809.0, 3272481.0]
[1810.0, 3276100.0]
[1811.0, 3279721.0]
[1812.0, 3283344.0]
[1813.0, 3286969.0]
[1814.0, 3290596.0]
[1815.0, 3294225.0]
[1816.0, 3297856.0]
[1817.0, 3301489.0]
[1818.0, 3305124.0]
[1819.0, 3308761.0]
[1820.0, 3312400.0]
[1821.0, 3316041.0]
[1822.0, 3319684.0]
[1823.0, 3323329.0]
[1824.0, 3326976.0]
[1825.0, 3330625.0]
[1826.0, 3334276.0]
[1827.0, 3337929.0]
[1828.0, 3341584.0]
[1829.0, 3345241.0]
[1830.0, 3348900.0]
[1831.0, 3352561.0]
[1832.0, 3356224.0]
[1833.0, 3359889.0]
[1834.0, 3363556.0]
[1835.0, 3367225.0]
[1836.0, 3370896.0]
[1837.0, 3374569.0]
[1838.0, 3378244.0]
[1839.0, 3381921.0]
[1840.0, 3385600.0]
[1841.0, 3389281.0]
[1842.0, 3392964.0]
[1843.0, 3396649.0]
[1844.0, 3400336.0]
[1845.0, 3404025.0]
[1846.0, 3407716.0]
[1847.0, 3411409.0]
[1848.0, 3415104.0]
[1849.0, 3418801.0]
[1850.0, 3422500.0]
[1851.0, 3426201.0]
[1852.0, 3429904.0]
[1853.0, 3433609.0]
[1854.0, 3437316.0]
[1855.0, 3441025.0]
[1856.0, 3444736.0]
[1857.0, 3448449.0]
[1858.0, 3452164.0]
[1859.0, 3455881.0]
[1860.0, 3459600.0]
[1861.0, 3463321.0]
[1862.0, 3467044.0]
[1863.0, 3470769.0]
[1864.0, 3474496.0]
[1865.0, 3478225.0]
[1866.0, 3481956.0]
[1867.0, 3485689.0]
[1868.0, 3489424.0]
[1869.0, 3493161.0]
[1870.0, 3496900.0]
[1871.0, 3500641.0]
[1872.0, 3504384.0]
[1873.0, 3508129.0]
[1874.0, 3511876.0]
[1875.0, 3515625.0]
[1876.0, 3519376.0]
[1877.0, 3523129.0]
[1878.0, 3526884.0]
[1879.0, 3530641.0]
[1880.0, 3534400.0]
[1881.0, 3538161.0]
[1882.0, 3541924.0]
[1883.0, 3545689.0]
[1884.0, 3549456.0]
[1885.0, 3553225.0]
[1886.0, 3556996.0]
[1887.0, 3560769.0]
[1888.0, 3564544.0]
[1889.0, 3568321.0]
[1890.0, 3572100.0]
[1891.0, 3575881.0]
[1892.0, 3579664.0]
[1893.0, 3583449.0]
[1894.0, 3587236.0]
[1895.0, 3591025.0]
[1896.0, 3594816.0]
[1897.0, 3598609.0]
[1898.0, 3602404.0]
[1899.0, 3606201.0]
[1900.0, 3610000.0]
[1901.0, 3613801.0]
[1902.0, 3617604.0]
[1903.0, 3621409.0]
[1904.0, 3625216.0]
[1905.0, 3629025.0]
[1906.0, 3632836.0]
[1907.0, 3636649.0]
[1908.0, 3640464.0]
[1909.0, 3644281.0]
[1910.0, 3648100.0]
[1911.0, 3651921.0]
[1912.0, 3655744.0]
[1913.0, 3659569.0]
[1914.0, 3663396.0]
[1915.0, 3667225.0]
[1916.0, 3671056.0]
[1917.0, 3674889.0]
[1918.0, 3678724.0]
[1919.0, 3682561.0]
[1920.0, 3686400.0]
[1921.0, 3690241.0]
[1922.0, 3694084.0]
[1923.0, 3697929.0]
[1924.0, 3701776.0]
[1925.0, 3705625.0]
[1926.0, 3709476.0]
[1927.0, 3713329.0]
[1928.0, 3717184.0]
[1929.0, 3721041.0]
[1930.0, 3724900.0]
[1931.0, 3728761.0]
[1932.0, 3732624.0]
[1933.0, 3736489.0]
[1934.0, 3740356.0]
[1935.0, 3744225.0]
[1936.0, 3748096.0]
[1937.0, 3751969.0]
[1938.0, 3755844.0]
[1939.0, 3759721.0]
[1940.0, 3763600.0]
[1941.0, 3767481.0]
[1942.0, 3771364.0]
[1943.0, 3775249.0]
[1944.0, 3779136.0]
[1945.0, 3783025.0]
[1946.0, 3786916.0]
[1947.0, 3790809.0]
[1948.0, 3794704.0]
[1949.0, 3798601.0]
[1950.0, 3802500.0]
[1951.0, 3806401.0]
[1952.0, 3810304.0]
[1953.0, 3814209.0]
[1954.0, 3818116.0]
[1955.0, 3822025.0]
[1956.0, 3825936.0]
[1957.0, 3829849.0]
[1958.0, 3833764.0]
[1959.0, 3837681.0]
[1960.0, 3841600.0]
[1961.0, 3845521.0]
[1962.0, 3849444.0]
[1963.0, 3853369.0]
[1964.0, 3857296.0]
[1965.0, 3861225.0]
[1966.0, 3865156.0]
[1967.0, 3869089.0]
[1968.0, 3873024.0]
[1969.0, 3876961.0]
[1970.0, 3880900.0]
[1971.0, 3884841.0]
[1972.0, 3888784.0]
[1973.0, 3892729.0]
[1974.0, 3896676.0]
[1975.0, 3900625.0]
[1976.0, 3904576.0]
[1977.0, 3908529.0]
[1978.0, 3912484.0]
[1979.0, 3916441.0]
[1980.0, 3920400.0]
[1981.0, 3924361.0]
[1982.0, 3928324.0]
[1983.0, 3932289.0]
[1984.0, 3936256.0]
[1985.0, 3940225.0]
[1986.0, 3944196.0]
[1987.0, 3948169.0]
[1988.0, 3952144.0]
[1989.0, 3956121.0]
[1990.0, 3960100.0]
[1991.0, 3964081.0]
[1992.0, 3968064.0]
[1993.0, 3972049.0]
[1994.0, 3976036.0]
[1995.0, 3980025.0]
[1996.0, 3984016.0]
[1997.0, 3988009.0]
[1998.0, 3992004.0]
[1999.0, 3996001.0]
